,time,O,C,H,L,volume,amount,r_1,r_5,r_10,k,rsi,x_1,x_2,y_pred
444,2018-05-22 09:31:00,5999.08,6041.4169999999995,6047.436,5992.606,9078.0,10954617280.0,-0.01266739243458921,-0.04560370522345992,-0.0506410995963362,77.67610393,63.18456692,1.1026838943812851,0.8865034862755161,-0.0020492547475414735
445,2018-05-23 09:31:00,6035.401,5964.888000000001,6035.401,5885.12,11479.0,13779867440.0,-0.004211646555643828,-0.0569221081770522,-0.03945170470929223,72.14013424,51.60421759,0.8394892520753521,0.06970806711462303,0.0003616000190928254
446,2018-05-24 09:31:00,5966.294,5939.766,5979.429,5925.009,9577.0,11433201720.0,-0.015350604720792046,-0.0387160032903653,-0.04141543623098951,65.58867839999999,48.33281917,0.5280157121268492,-0.16103309341185135,0.0010426560260981775
447,2018-05-25 09:31:00,5935.422,5848.5869999999995,5939.499,5839.066,11012.0,12992905720.0,0.0003809467141379732,-0.037148801924293706,-0.039445766986111234,55.30279793,38.39454585,0.03899774730789247,-0.8620081582240731,0.0031116552352642166
448,2018-05-28 09:31:00,5857.814,5850.815,5900.802,5810.033,11090.0,13014441360.0,-0.014512337170120685,-0.03666583202511097,-0.0438051792784423,48.55875818,38.740814,-0.2816317411274467,-0.8375848674699143,0.0030395674081899063
449,2018-05-29 09:31:00,5844.776,5765.906,5878.928000000001,5763.529,12192.0,14248887880.0,-0.02437639462037704,-0.005278095064331447,-0.02230698870220914,40.58891687,31.21786684,-0.6605390781039427,-1.3682000159230785,0.004605731994679454
450,2018-05-30 09:31:00,5716.665,5625.354,5719.6,5618.009,14436.0,16419716840.0,0.01501203302049958,0.01852487861208376,-0.014346119373109876,34.08630907,22.92696623,-0.9696902530224546,-1.9529811348676356,0.006331772953006029
451,2018-05-31 09:31:00,5659.065,5709.802,5719.4619999999995,5623.445,12625.0,14372837480.0,-0.013745310257693572,-0.0028081534175790424,-0.03203648742986177,31.68220735,34.65707215,-1.083987607902387,-1.1256229517334426,0.003889741114027197
452,2018-06-01 09:31:00,5685.2,5631.319,5697.222,5592.346,11908.0,13485145440.0,0.0008827416809453609,-0.00238558675152308,-0.03981287510084236,27.72065576,29.89934134,-1.2723302492268105,-1.4611994201514849,0.004880229196449435
453,2018-06-04 09:31:00,5646.111999999999,5636.29,5659.735,5598.552,12006.0,13563961040.0,0.017597213770051027,-0.007411080693150943,-0.10441247700171563,24.58757758,30.57842466,-1.4212850732373483,-1.4133017161014318,0.004738854250641661
454,2018-06-05 09:31:00,5637.404,5735.473000000001,5738.569,5637.404,12889.0,14700174480.0,-0.0010304293996329095,-0.017119250670345896,-0.11087490081463218,25.33295543,42.97759373,-1.3858478386426778,-0.5387525803909091,0.0021575335147227155
